listing_id,host_id,host_name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,city,neighbourhood,district,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,amenity_score,number_of_reviews,review_scores_rating,license,instant_bookable,monthly_earning_€,type
51188959,414299879,Ángel,1.0,1.0,F,0,0,T,Madrid,Embajadores,Centro,40.40711,-3.70776,Entire place,5,3,3,3,4,0,0.0,T,T,8053.353,airbnb
51194673,319003584,Blanca,1.0,0.92,F,3,3,F,Madrid,Sol,Centro,40.41996,-3.70677,Entire place,5,2,3,3,2,1,5.0,T,T,2810.94,airbnb
51204954,56845974,Borja,0.0,0.0,F,0,0,F,Madrid,Palacio,Centro,40.42284,-3.71037,Entire place,2,1,1,1,2,0,0.0,T,T,1959.75,airbnb
51224620,168938174,Marta,1.0,0.88,F,0,0,T,Madrid,San Pascual,Ciudad Lineal,40.44333,-3.64986,Entire place,5,1,2,3,2,3,5.0,T,F,1472.625,airbnb
51225075,171476504,Diego,0.72,1.0,F,1,1,T,Madrid,Almenara,Tetuán,40.46716,-3.69044,Entire place,2,1,1,1,4,7,4.86,T,T,1280.4,airbnb
51230549,48175075,Jonny,0.8,0.44,F,1,1,T,Madrid,Embajadores,Centro,40.41312,-3.70417,Entire place,8,1,4,4,1,0,0.0,T,T,2852.091,airbnb
51248169,414921505,Andres,0.67,0.33,F,0,0,F,Madrid,Casco Histórico de Vicálvaro,Vicálvaro,40.40856,-3.55153,Private room,1,1,1,1,3,1,5.0,T,F,277.20000000000005,airbnb
51323119,394315755,Juan Francisco,0.76,0.61,F,1,1,T,Madrid,Valdeacederas,Tetuán,40.46584,-3.6969,Entire place,2,1,1,1,2,0,0.0,T,F,561.3299999999999,airbnb
51326909,169438792,Juan,1.0,0.96,T,3,3,T,Madrid,Sol,Centro,40.41753,-3.70149,Entire place,2,1,1,1,1,0,0.0,T,T,1630.6714285714286,airbnb
51339799,415684729,Ángela,1.0,0.0,F,0,0,F,Madrid,Embajadores,Centro,40.41059,-3.69841,Entire place,1,1,1,1,0,0,0.0,T,T,99.0,airbnb
51344486,37738190,Michel,1.0,1.0,F,1,1,T,Madrid,Recoletos,Salamanca,40.4234,-3.68036,Entire place,2,1,1,1,2,0,0.0,T,F,2531.1,airbnb
51360282,19184206,Elisa,1.0,1.0,F,0,0,T,Madrid,Embajadores,Centro,40.40859,-3.70411,Entire place,4,1,1,0,1,0,0.0,T,F,1155.6,airbnb
51362324,416001304,Fina,0.77,1.0,F,0,0,F,Madrid,Sol,Centro,40.41949,-3.70012,Entire place,3,1,1,2,4,0,0.0,T,F,1154.52,airbnb
51401674,415332186,Peppe,1.0,0.91,F,0,0,F,Madrid,Embajadores,Centro,40.41183,-3.70512,Private room,1,1,1,1,0,4,5.0,T,F,383.13,airbnb
51407025,415071810,Lucas,1.0,0.93,F,0,0,T,Madrid,Universidad,Centro,40.42518,-3.7038,Private room,1,1,1,1,4,9,5.0,T,F,765.3525,airbnb
51414642,368026408,Nathalie,0.89,0.36,F,7,7,T,Madrid,Vallehermoso,Chamberí,40.43892,-3.70958,Entire place,4,1,1,2,0,1,1.0,T,F,620.7300000000001,airbnb
51418758,313366864,Humservi,1.0,0.9,F,3,3,T,Madrid,Justicia,Centro,40.42377,-3.69885,Entire place,4,1,1,2,1,1,4.0,T,T,700.59,airbnb
51419832,416441979,Arturo,0.92,1.0,F,0,0,F,Madrid,Universidad,Centro,40.42585,-3.70854,Entire place,2,1,1,1,0,1,1.0,T,T,2330.163,airbnb
51423665,258613351,Carlos,1.0,1.0,F,0,0,T,Madrid,Pueblo Nuevo,Ciudad Lineal,40.42085,-3.62824,Entire place,4,1,1,2,2,1,5.0,T,T,750.42,airbnb
51443064,55089714,Totó,0.0,0.0,F,0,0,F,Madrid,Prosperidad,Chamartín,40.44028,-3.67734,Private room,2,1,1,1,0,0,0.0,T,T,801.9,airbnb
51476394,2626965,Svetlana,0.9,0.6,F,0,0,T,Madrid,Bellas Vistas,Tetuán,40.451614124430336,-3.705319842604632,Entire place,4,1,1,2,1,1,1.0,T,T,1321.155,airbnb
51481717,145334032,Eunice,0.0,0.0,F,0,0,F,Madrid,Palacio,Centro,40.41069101036033,-3.7117595841470687,Entire place,2,1,1,0,1,0,0.0,T,T,1468.5,airbnb
51488388,150397827,Alex,1.0,0.86,F,0,0,T,Madrid,Justicia,Centro,40.42265365376766,-3.6996743386404254,Private room,1,1,1,1,4,3,5.0,T,F,194.2875,airbnb
51496653,347257943,Noelia,0.92,0.75,F,0,0,F,Madrid,Pradolongo,Usera,40.3840412732542,-3.7098756406693183,Private room,1,1,2,3,4,1,5.0,T,T,297.0,airbnb
51504226,25087431,Eileen,1.0,0.33,F,0,0,T,Madrid,Comillas,Carabanchel,40.39018874366926,-3.7147662046794703,Entire place,3,1,3,4,1,0,0.0,T,F,1410.75,airbnb
51547178,11277477,Mar,1.0,1.0,F,2,2,T,Madrid,Delicias,Arganzuela,40.39833142160372,-3.695594264707031,Private room,1,1,1,1,2,0,0.0,T,F,128.7,airbnb
